,Unnamed: 0,Make,Model,Variant,Cylinders,Doors,Seating_Capacity,Gears,Ex-Showroom_Price,Fuel_Type,Drivetrain,Displacement,City_Mileage,Kerb_Weight,Cylinder_Configuration,Doors.1,Body_Type,Emission_Norm,Fuel_System,Fuel_Tank_Capacity,Height,Length,Width,Front_Brakes,Rear_Brakes,Power_Steering,Power,Torque,Odometer,Speedometer,Type,Wheelbase,Handbrake,Launch_Date
0,0,Tata,Nano Genx,Xt,2.0,5.0,4.0,4,"Rs. 2,92,667",Petrol,RWD (Rear Wheel Drive),624 cc,?23.6 km/litre,660 kg,In-line,5.0,Hatchback,BS IV,Injection,24 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Manual,2230 mm,Manual,2020-08-06
1,1,Tata,Nano Genx,Xe,2.0,5.0,4.0,4,"Rs. 2,36,447",Petrol,RWD (Rear Wheel Drive),624 cc,?23.6 km/litre,725 kg,In-line,5.0,Hatchback,BS IV,Injection,24 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Manual,2230 mm,Manual,2020-09-21
2,2,Tata,Nano Genx,Emax Xm,2.0,4.0,4.0,4,"Rs. 2,96,661",CNG,RWD (Rear Wheel Drive),624 cc,,710 kg,In-line,4.0,Hatchback,BS IV,Injection,15 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Manual,2230 mm,Manual,2019-08-07
3,3,Tata,Nano Genx,Xta,2.0,5.0,4.0,5,"Rs. 3,34,768",Petrol,RWD (Rear Wheel Drive),624 cc,?23.6 km/litre,725 kg,In-line,5.0,Hatchback,BS IV,Injection,24 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Automatic,2230 mm,Manual,2020-11-28
4,4,Tata,Nano Genx,Xm,2.0,5.0,4.0,4,"Rs. 2,72,223",Petrol,RWD (Rear Wheel Drive),624 cc,?23.6 km/litre,725 kg,In-line,5.0,Hatchback,BS IV,Injection,24 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Manual,2230 mm,Manual,2020-11-23
5,5,Tata,Nano Genx,Xma,2.0,5.0,4.0,5,"Rs. 3,14,815",Petrol,RWD (Rear Wheel Drive),624 cc,?23.6 km/litre,710 kg,In-line,5.0,Hatchback,BS IV,Injection,24 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Automatic,2230 mm,Manual,2021-10-20
6,6,Datsun,Redi-Go,D,3.0,5.0,5.0,5,"Rs. 2,79,650",Petrol,FWD (Front Wheel Drive),799 cc,21.38 km/litre,,In-line,5.0,Hatchback,BS IV,Injection,28 litres,1541 mm,3429 mm,1560 mm,Ventilated Disc,Drum,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Manual,2348 mm,Manual,2019-09-29
7,7,Datsun,Redi-Go,T,3.0,5.0,5.0,5,"Rs. 3,51,832",Petrol,FWD (Front Wheel Drive),799 cc,21.38 km/litre,,In-line,5.0,Hatchback,BS IV,Injection,28 litres,1541 mm,3429 mm,1560 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Manual,2348 mm,Manual,2021-11-07
8,8,Datsun,Redi-Go,A,3.0,5.0,5.0,5,"Rs. 3,33,419",Petrol,FWD (Front Wheel Drive),799 cc,21.38 km/litre,,In-line,5.0,Hatchback,BS IV,Injection,28 litres,1541 mm,3429 mm,1560 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Manual,2348 mm,Manual,2020-08-06
9,9,Datsun,Redi-Go,S,3.0,5.0,5.0,5,"Rs. 3,62,000",Petrol,FWD (Front Wheel Drive),799 cc,21.38 km/litre,,In-line,5.0,Hatchback,BS IV,Injection,28 litres,1541 mm,3429 mm,1560 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Manual,2348 mm,Manual,2021-01-24
